7175,"Betonghåltagare, utan yrkesbevis"
4143,Betongstationskötare
6207,Betongvaruarbetare
5899,Bibliotekarie
5901,Biblioteksassistent
6262,Bibliotekschef
2446,Bibliotekskonsulent
5673,Bilbärgare
4653,Bild- och reprografiker
2438,Bildarkivarie
2959,Bildemontör
6257,Bildingenjör
6186,Bildmixer
7022,Bildpedagog
4806,Bildproducent
3890,Bildredaktör
1624,Bildterapeut
5854,Bilförsäljare
2361,Bilglasmontör
5580,Bilinspektör
7688,Biljettkontrollör
5973,Bilplåtslagare/Bilskade- och karosserireparatör
396,Bilrekonditionerare
2566,"Bilskadeinspektör, försäkring"
2559,Bilskadereglerare
4348,Biltapetserare
7363,Biltestkoordinator
2306,Biluthyrare
397,Bilvårdare/Garagearbetare
7074,"BING, film/TV"
2250,Bingofunktionär/Bingovärd/Bingovärdinna
5044,Biodlare/Biskötare
6119,Biografmaskinist
4126,Biografvaktmästare
6902,Bioinformatiker
1837,Biokemist
6305,Biolog
6906,Biomedicinare
5734,Biomedicinsk analytiker
1444,Biostatistiker
6836,Biståndsbedömare/Biståndshandläggare
7450,Biträdande butikschef
7563,Biträdande förskolechef
5399,Biträdande jurist
7297,Biträdande rektor
7466,Biträdande universitetslektor
925,"Blandarskötare, sprängämnesindustri"
926,"Blandningsuppvägare, sprängämnen"
876,Blanksticksgravör
3240,Blockgjutare
4548,Blomsterodlare
4655,"Blysättare, tryckeri"
3017,"Blåsare, stålverk"
5633,Blåsinstrumentmakare
5838,Blästrare
3939,"Blästrare, glas"
4393,Blöjmaskinskötare
5222,"Boendechef, kommun"
5804,"Boendeföreståndare, kommunal"
6686,Bohags- och flyttbilsförare
4700,Bokbindare
5672,Bokbussförare
2895,Bokförare
3070,Bokföringskontorist
5063,Bokförläggare
6181,Bolagsjurist
6881,Borgerlig officiant
1377,"Borrare, gruva"
5938,"Borrare, metall"
4352,"Borrare, trä"
1390,"Borrförman, berg"
7674,Borrkärnshanterare
370,"Borrledare, petroleumutvinning"
7610,Borrtekniker
6325,Bostadsförmedlare
2578,Bostadsförvaltare
2580,Bostadsintendent
4743,Botaniker
2791,Boupptecknare
5964,Boutredare
2792,Boutredningsman
6858,Bovärd/Fastighetsvärd/Husvärd
5905,Brandbefäl/Räddningsledare/Insatsledare
6647,Brandchef
5567,Brandingenjör
562,Brandinspektör
5904,Brandman
2560,Brandskadereglerare
4080,Brandskadesanerare
7513,Brandskyddsmålare
564,Brandtekniker
7623,Bredbandsinstallatör
5830,Brevbärare
3224,Brodös
1395,Brottarbetare
3156,Brottmålsadvokat
2506,Brovakt
5982,Brunnsborrare
5661,Bryggeriarbetare
1176,Brygghusarbetare
5423,Bryggmästare
1378,"Brytare, gruva"
1396,"Brytare, stenbrott"
3976,"Brännare, glas, keramik"
1178,Brännmästare
1179,Brännvinsbrännare
4332,Budbilsförare
6841,Buddhistpräst
7467,Budget- och skuldrådgivare
3071,Budgetassistent
5069,Budgetchef
4844,Budgetplanerare
4845,Budgetsekreterare
6533,Business controller
5561,Bussförare/Busschaufför
698,Bussguide
598,Bussmekaniker
4927,Butiksansvarig
6646,Butikschef
2289,Butiksdemonstratör
4171,Butiksinspektör
7211,Butikskommunikatör/Visual merchandiser
5950,Butikskonsulent
2475,Butikskontrollant
5357,"Butikssäljare, fackhandel"
2284,"Butikssäljare/Medarbetare, dagligvaror"
6687,Bygg- och anläggningsförare
7483,Byggledare
7628,Bygglovshandläggare
6369,Byggmästare
4179,Byggnadsingenjör
5586,Byggnadsinspektör
2983,Byggnadskalkylator/Anbudsingenjör
6645,Byggnadskonstruktör
4180,Byggnadskonsult
642,Byggnadskontrollant
5972,Byggnadsplåtslagare
4467,Byggnadsråd
2615,Byggnadssmed
449,Byggstädare
4468,Byråchef
2567,Båtbesiktningsman
5815,Båtbyggare
2282,Båtförsäljare
2092,Båtinredare
4047,"Båtman, Sjöfartsverket"
2568,Båtskadeinspektör
4086,Båtsman/Bås
786,Båtvärdinna
2629,Bänkarbetare
2856,Bärgningsdykare
4536,Bärodlare
6810,Bärplockare
4328,Bössmakare
463,Cabin stewardess/Hyttvärdinna
4929,Campingplatsföreståndare
5936,Cateringarbetare
4152,Cementbrännare
3953,"Centrifugoperatör, glas"
7449,Centrumledare
7489,Centrumutvecklare/Handelsutvecklare
2285,"Charkuteriarbetare, butik"
7592,"Charkuteriarbetare, slakteri"
5502,Charkuterist
688,Charterresesäljare
7555,Chef för valuta och fixed income
7517,Chef inom kyrkogårdsförvaltningen
7553,"Chef, Corporate Finance"
6363,Chefredaktör
1593,Chefsarbetsterapeut
7560,Chefsbarnmorska
217,Chefskock
5960,Chefssekreterare
1451,Chefssjuksköterska
3145,Chefsåklagare
5425,"CIO, Chief Information Officer/IT-chef"
6106,Cirkelledare/Studiecirkelledare
6095,Cirkusartist
5622,Ciselör
5975,Cisternreparatör
2835,Cisternvårdare
7448,Cityledare
6644,Civilförsvarschef
6497,"Civilingenjör, anläggning"
6472,"Civilingenjör, anläggning, elkraft"
7106,"Civilingenjör, bioteknik"
6508,"Civilingenjör, bygg"
6494,"Civilingenjör, byggnadskonstruktion"
6470,"Civilingenjör, drift och underhåll, elkraft"
6506,"Civilingenjör, elkraft"
6505,"Civilingenjör, el-tele"
6900,"Civilingenjör, energi"
7427,"Civilingenjör, farkostteknik"
7263,"Civilingenjör, forskning inom bygg/anläggning"
6804,"Civilingenjör, forskning/utveckling, kemi"
6491,"Civilingenjör, hamn"
7268,"Civilingenjör, järnväg"
6894,"Civilingenjör, kemi"
6500,"Civilingenjör, kemiteknik"
6460,"Civilingenjör, konstruktion, elektronik"
6468,"Civilingenjör, konstruktion, elkraft"
6456,"Civilingenjör, konstruktion, maskin"
6467,"Civilingenjör, kontroll, elkraft"
6458,"Civilingenjör, kvalitet, elektronik"
6466,"Civilingenjör, kvalitet, elkraft"
6449,"Civilingenjör, kvalitet, kemiteknik"
6446,"Civilingenjör, kvalitet, metallurgi"
6502,"Civilingenjör, lantmäteri"
6504,"Civilingenjör, maskin"
7378,"Civilingenjör, medicinsk teknik"
4720,"Civilingenjör, organisationsutveckling"
6447,"Civilingenjör, process, kemiteknik"
6459,"Civilingenjör, produktion, elektronik"
6463,"Civilingenjör, produktion, elkraft"
6445,"Civilingenjör, produktion, gruv, metallurgi"
6453,"Civilingenjör, produktion, maskin"
6509,"Civilingenjör, systemutveckling"
7318,"Civilingenjör, teknisk fysik"
7491,"Civilingenjör, tillverkningsindustri"
6485,"Civilingenjör, trafik"
6450,"Civilingenjör, VVS"
6483,"Civilingenjör, väg"
6484,"Civilingenjör, väg- och vattenbyggnad"
2569,Civilskadeinspektör
2561,Civilskadereglerare
3582,Clown
7614,"CNC-operatör, trä"
6004,CNC-operatör/FMS-operatör
6850,Coldsettryckare
7684,Colorist
7689,Configuration Manager/CM
6318,Controller
6156,Copywriter
7204,Creative director/CD
5846,Croupier
6882,Curator
5577,Cykel- och mopedreparatör
3470,Cykelbud
4689,Cylindergravör
6731,Cytodiagnostiker
5717,Dagbarnvårdare
240,Damfrisör
2374,"Dammskötare, fiskodling"
1415,Damskräddare
6050,Dansare
6383,"Dansare, show"
6099,Danspedagog
1625,Dansterapeut
7135,Data Warehouse specialist
5896,Databasadministratör
2421,Databasdesigner
2422,Databastekniker
2423,Databasutvecklare
7338,Dataingenjör
3635,Datainstruktör
6027,Dataoperatör
